        Zone      Season        Index    Path      Row       Acquisition     Scene_id                Julian Date      
        4         leafoff       6        43        35        10/25/01        7043035000129850        01298        
        4         leafoff       6        43        36        10/25/01        7043036000129850        01298        
        4         leafoff       7        44        34        09/30/01        7044034000127350        01273        
        4         leafoff       8        44        35        10/13/00        7044035000028750        00287
        5         spring        1        41        36        03/04/02        7041036000206350        02063      
        5         spring        2        42        34        04/06/00        7042034000009750        00097      
        5         spring        3        42        35        03/27/02        7042035000208650        02086      
        5         spring        4        42        36        03/11/02        7042036000207050        02070      
        5         spring        5        43        34        03/02/02        7043034000206150        02061      
        5         spring        5        43        35        03/02/02        7043035000206150        02061      
        5         spring        6        44        32        05/12/02        7044032000213250        02132      
        5         spring        7        44        33        04/23/01        7044033000111350        01113      
        5         spring        8        44        34        04/20/00        7044034000011150        00111      
        5         spring        9        45        32        03/26/00        7045032000008650        00086
        5         leafon        1        41        36        06/21/01        7041036000117250        01172      
        5         leafon        2        42        34        07/27/00        7042034000020950        00209      
        5         leafon        3        42        35        07/30/01        7042035000121150        01211      
        5         leafon        4        42        36        08/12/00        7042036000022550        00225      
        5         leafon        5        43        34        07/21/01        7043034000120250        01202        
        5         leafon        6        43        35        08/06/01        7043035000121850        01218        
        5         leafon        7        44        32        06/23/00        7044032000017550        00175        
        5         leafon        8        44        33        07/28/01        7044033000120950        01209        
        5         leafon        9        44        34        06/10/01        7044034000116150        01161        
        5         leafon        0        45        32        06/17/01        7045032000116850        01168
        5         leafoff       1        41        36        09/06/00        7041036000025050        00250        
        5         leafoff       2        42        34        10/18/01        7042034000129150        01291        
        5         leafoff       2        42        35        10/18/01        7042035000129150        01291        
        5         leafoff       3        42        36        11/16/00        7042036000032150        00321        
        5         leafoff       4        43        34        10/25/01        7043034000129850        01298        
        5         leafoff       4        43        35        10/25/01        7043035000129850        01298        
        5         leafoff       5        44        32        09/11/00        7044032000025550        00255        
        5         leafoff       6        44        33        09/14/01        7044033000125750        01257        
        5         leafoff       7        44        34        09/30/01        7044034000127350        01273        
        5         leafoff       8        45        32        11/08/01        7045032000131250        01312
        6         spring        1        41        35        04/08/03        7041035000309850        03098      
        6         spring        2        41        36        03/04/02        7041036000206350        02063      
        6         spring        3        42        33        04/06/00        7042033000009750        00097      
        6         spring        3        42        34        04/06/00        7042034000009750        00097      
        6         spring        4        42        35        03/27/02        7042035000208650        02086      
        6         spring        5        43        32        04/29/00        7043032000012050        00120      
        6         spring        6        43        33        05/31/00        7043033000015250        00152      
        6         spring        7        43        34        03/02/02        7043034000206150        02061      
        6         spring        8        44        32        05/12/02        7044032000213250        02132      
        6         spring        9        44        33        04/23/01        7044033000111350        01113 
        6         leafon        1        41        35        06/24/02        7041035000217550        02175      
        6         leafon        2        41        36        06/21/01        7041036000117250        01172      
        6         leafon        8        42        33        07/27/00        7042033000020950        00209      
        6         leafon        3        42        34        07/27/00        7042034000020950        00209      
        6         leafon        4        42        35        07/30/01        7042035000121150        01211        
        6         leafon        5        43        32        07/08/02        7043032000218950        02189        
        6         leafon        6        43        33        07/21/01        7043033000120250        01202        
        6         leafon        6        43        34        07/21/01        7043034000120250        01202        
        6         leafon        7        44        32        07/28/01        7044032000120950        01209        
        6         leafon        7        44        33        07/21/01        7044033000120250        01202
        6         leafoff       1        41        35        09/20/99        7041035009926350        99263        
        6         leafoff       2        41        36        09/06/00        7041036000025050        00250        
        6         leafoff       3        42        33        09/27/99        7042033009927050        99270        
        6         leafoff       4        42        34        10/18/01        7042034000129150        01291        
        6         leafoff       4        42        35        10/18/01        7042035000129150        01291        
        6         leafoff       5        43        32        10/20/99        7043032009929350        99293        
        6         leafoff       6        43        33        10/06/00        7043033000028050        00280        
        6         leafoff       7        43        34        10/22/00        7043034000029650        00296        
        6         leafoff       8        44        32        10/19/02        7044032000229250        02292        
        6         leafoff       9        44        33        10/13/00        7044033000028750        00287
        7         spring        1        43        31        04/29/00        7043031000012050        00120      
        7         spring        2        44        30        05/04/02        5044030000212410        02124      
        7         spring        3        44        31        04/04/00        7044031000009550        00095      
        7         spring        4        44        32        05/12/02        7044032000213250        02132      
        7         spring        5        45        28        03/21/01        5045028000108010        01080      
        7         spring        5        45        29        03/21/01        5045029000108010        01080      
        7         spring        6        45        30        05/21/00        5045030000014210        00142      
        7         spring        7        45        31        04/30/04        5045031000412110        04121      
        7         spring        8        45        32        05/11/02        5045032000213110        02131      
        7         spring        9        46        28        04/10/00        5046028000010110        00101      
        7         spring       10        46        29        03/20/01        7046029000107950        01079      
        7         spring       11        46        30        05/07/01        7046030000112750        01127
        7         leafon        1        43        31        07/08/02        7043031000218950        02189      
        7         leafon        2        44        30        09/09/02        5044030000225210        02252        
        7         leafon        3        44        31        07/28/01        7044031000120950        01209        
        7         leafon        3        44        32        07/28/01        7044032000120950        01209        
        7         leafon        4        45        28        07/22/02        7045028000220350        02203        
        7         leafon        5        45        29        07/17/03        5045029000319810        03198        
        7         leafon        5        45        30        07/17/03        5045030000319810        03198        
        7         leafon        6        45        31        08/07/02        7045031000221950        02219        
        7         leafon        7        45        32        06/17/01        7045032000116850        01168        
        7         leafon        8        46        28        07/26/01        7046028000120750        01207        
        7         leafon        9        46        29        08/08/00        7046029000022150        00221        
        7         leafon       10        46        30        07/26/01        7046030000120750        01207        
        7         leafon       11        45        30        08/20/01        7045030000123250        01232        
        7         leafon       12        45        31        06/12/02        5045031000216310        02163
        7         leafoff       1        43        31        10/06/00        7043031000028050        00280        
        7         leafoff       2        44        30        09/30/01        7044030000127350        01273        
        7         leafoff       2        44        31        09/30/01        7044031000127350        01273        
        7         leafoff       3        44        32        10/19/02        7044032000229250        02292        
        7         leafoff       4        45        28        10/04/00        7045028000027850        00278        
        7         leafoff       4        45        29        10/04/00        7045029000027850        00278        
        7         leafoff       4        45        30        10/04/00        7045030000027850        00278        
        7         leafoff       5        45        31        11/08/01        7045031000131250        01312        
        7         leafoff       5        45        32        11/08/01        7045032000131250        01312        
        7         leafoff       6        46        28        09/25/00        7046028000026950        00269        
        7         leafoff       7        46        29        09/28/01        7046029000127150        01271        
        7         leafoff       8        46        30        08/27/01        7046030000123950        01239
        8         spring        1        42        28        04/25/01        7042028000111550        01115
        8         spring        2        43        27        05/10/01        7043027000113050        01130
        8         spring        3        43        28        04/03/02        7043028000209350        02093
        8         spring        4        44        27        03/22/01        7044027000108150        01081
        8         spring        4        44        28        03/22/01        7044028000108150        01081
        8         spring        5        44        29        05/04/02        5044029000212410        02124
        8         spring        6        45        26        03/21/01        5045026000108010        01080
        8         spring        7        45        27        03/26/00        7045027000008650        00086
        8         spring        6        45        28        03/21/01        5045028000108010        01080
        8         spring        6        45        29        03/21/01        5045029000108010        01080
        8         leafon        1        42        28        07/17/02        7042028000219850        02198
        8         leafon        2        43        27        07/24/02        7043027000220550        02205
        8         leafon        2        43        28        07/24/02        7043028000220550        02205
        8         leafon        3        44        27        07/15/02        7044027000219650        02196
        8         leafon        8        44        27        09/27/00        7044027000027150        00271        
        8         leafon        3        44        28        07/15/02        7044028000219650        02196        
        8         leafon        9        44        28        09/30/01        7044028000127350        01273        
        8         leafon        4        44        29        07/09/00        7044029000019150        00191        
        8         leafon        5        45        26        07/16/00        7045026000019850        00198        
        8         leafon        5        45        27        07/16/00        7045027000019850        00198        
        8         leafon        6        45        28        07/22/02        7045028000220350        02203        
        8         leafon        7        45        29        07/17/03        5045029000319810        03198
        8         leafoff       1        42        28        09/11/99        7042028009925450        99254        
        8         leafoff       2        43        27        10/04/99        7043027009927750        99277        
        8         leafoff       3        43        28        10/06/00        7043028000028050        00280        
        8         leafoff       4        44        27        09/27/00        7044027000027150        00271        
        8         leafoff       5        44        28        09/30/01        7044028000127350        01273        
        8         leafoff       5        44        29        09/30/01        7044029000127350        01273        
        8         leafoff       6        45        26        10/18/99        7045026009929150        99291        
        8         leafoff       7        45        27        10/04/00        7045027000027850        00278
        8         leafoff       7        45        28        10/04/00        7045028000027850        00278
        8         leafoff       7        45        29        10/04/00        7045029000027850        00278        
        9         spring        1        41        30        05/04/01        7041030000112450        01124
        9         spring        2        42        28        04/25/04        5042028000411610        04116
        9         spring        3        42        29        04/25/01        7042029000111550        01115
        9         spring        4        42        30        05/14/02        7042030000213450        02134
        9         spring        5        42        31        05/11/01        7042031000113150        01131
        9         spring        6        43        28        04/03/02        7043028000209350        02093
        9         spring        7        43        29        05/02/04        5043029000412310        04123
        9         spring        7        43        30        05/02/04        5043030000412310        04123
        9         spring        8        43        31        04/29/00        7043031000012050        00120
        9         spring        9        44        28        03/22/01        7044028000108150        01081
        9         spring       10        44        29        05/04/02        5044029000212410        02124
        9         spring       10        44        30        05/04/02        5044030000212410        02124
        9         spring       11        45        29        03/21/01        5045029000108010        01080
        9         leafon        1        41        30        07/10/02        7041030000219150        02191        
        9         leafon        2        42        28        07/17/02        7042028000219850        02198        
        9         leafon        2        42        29        07/17/02        7042029000219850        02198        
        9         leafon        3        42        30        07/01/02        7042030000218250        02182        
        9         leafon        3        42        31        07/01/02        7042031000218250        02182        
        9         leafon        4        43        28        07/17/02        7043028000219850        02198        
        9         leafon       11        43        28        08/06/01        7043028000121850        01218        
        9         leafon        5        43        29        08/08/02        7043029000222050        02220        
        9         leafon        5        43        30        08/08/02        7043030000222050        02220        
        9         leafon        6        43        31        07/08/02        7043031000218950        02189        
        9         leafon        7        44        28        07/15/02        7044028000219650        02196        
        9         leafon        8        44        29        07/09/00        7044029000019150        00191        
        9         leafon        9        44        30        09/30/01        7044030000127350        01273        
        9         leafon       12        44        30        09/30/01        7044030000127350        01273        
        9         leafon       10        45        29        07/17/03        5045029000319810        03198
        9         leafoff       1        41        30        10/08/00        7041030000028250        00282        
        9         leafoff       2        42        28        09/11/99        7042028009925450        99254        
        9         leafoff       3        42        29        10/13/99        7042029009928650        99286        
        9         leafoff       2        42        30        09/11/99        7042030009925450        99254        
        9         leafoff       4        42        31        09/27/99        7042031009927050        99270        
        9         leafoff       5        43        28        10/06/00        7043028000028050        00280        
        9         leafoff       6        43        29        09/20/00        7043029000026450        00264        
        9         leafoff       7        43        30        10/12/02        7043030000228550        02285        
        9         leafoff       5        43        31        10/06/00        7043031000028050        00280        
        9         leafoff       8        44        28        09/30/01        7044028000127350        01273        
        9         leafoff       8        44        29        09/30/01        7044029000127350        01273        
        9         leafoff       8        44        30        09/30/01        7044030000127350        01273        
        9         leafoff       9        45        29        10/04/00        7045029000027850        00278        
        10        spring        1        40        29        05/21/01        5040029000114110        01141        
        10        spring        2        40        30        05/29/01        7040030000114950        01149        
        10        spring        3        41        27        05/01/00        7041027000012250        00122        
        10        spring        3        41        28        05/01/00        7041028000012250        00122        
        10        spring        4        41        29        06/02/00        7041029000015450        00154        
        10        spring        5        41        30        05/04/01        7041030000112450        01124        
        10        spring        6        42        26        05/24/00        7042026000014550        00145        
        10        spring        7        42        27        04/25/01        7042027000111550        01115        
        10        spring        7        42        28        04/25/01        7042028000111550        01115        
        10        spring        7        42        29        04/25/01        7042029000111550        01115        
        10        spring        8        43        26        05/24/03        7043026000314450        03144        
        10        spring        9        43        27        05/10/01        5043027000113010        01130        
        10        spring       10        44        26        06/08/03        5044026000315910        03159        
        10        spring       10        44        27        06/08/03        5044027000315910        03159        
        10        spring       11        45        26        03/21/01        5045026000108010        01080 
        10        leafon        1        40        29        08/01/01        7040029000121350        01213        
        10        leafon        2        40        30        08/14/00        7040030000022750        00227        
        10        leafon        3        41        27        07/10/02        7041027000219150        02191        
        10        leafon        3        41        28        07/10/02        7041028000219150        02191        
        10        leafon        3        41        29        07/10/02        7041029000219150        02191        
        10        leafon        3        41        30        07/10/02        7041030000219150        02191        
        10        leafon        4        42        26        06/20/01        5042026000117110        01171        
        10        leafon        5        42        27        07/09/99        7042027009919050        99190        
        10        leafon        5        42        28        07/09/99        7042028109919050        99190        
        10        leafon        6        42        29        07/25/99        7042029009920650        99206        
        10        leafon        7        43        26        07/19/03        5043026000320010        03200        
        10        leafon        8        43        27        07/24/02        7043027000220550        02205        
        10        leafon        9        44        26        07/15/02        7044026000219650        02196        
        10        leafon        9        44        27        07/15/02        7044027000219650        02196
        10        leafoff       1        40        29        09/13/99        7040029009925650        99256        
        10        leafoff       1        40        30        09/13/99        7040030009925650        99256        
        10        leafoff       2        41        27        09/20/99        7041027009926350        99263        
        10        leafoff       3        41        27        10/08/00        7041027000028250        00282        
        10        leafoff       2        41        28        09/20/99        7041028009926350        99263        
        10        leafoff       3        41        28        10/08/00        7041028000028250        00282        
        10        leafoff       2        41        29        09/20/99        7041029009926350        99263        
        10        leafoff       3        41        29        10/08/00        7041029000028250        00282        
        10        leafoff       2        41        30        09/20/99        7041030009926350        99263        
        10        leafoff       3        41        30        10/08/00        7041030000028250        00282        
        10        leafoff       4        42        26        08/26/99        7042026009923850        99238        
        10        leafoff       4        42        27        08/26/99        7042027009923850        99238        
        10        leafoff       5        42        27        08/29/03        5042027000324110        03241        
        10        leafoff       6        42        28        09/11/99        7042028009925450        99254        
        10        leafoff       7        42        29        10/13/99        7042029009928650        99286        
        10        leafoff       8        42        29        09/13/00        7042029000025750        00257        
        10        leafoff       9        43        26        10/04/99        7043026009927750        99277        
        10        leafoff       9        43        27        10/04/99        7043027009927750        99277        
        10        leafoff      10        44        26        09/30/01        7044026000127350        01273        
        10        leafoff      10        44        27        09/27/00        7044027000027150        00271        
        12        spring        1        39        34        05/03/00        7039034000012450        00124
        12        spring        2        40        31        04/08/00        7040031000009950        00099
        12        spring        2        40        32        04/08/00        7040032000009950        00099
        12        spring        3        40        33        04/24/00        7040033000011550        00115
        12        spring        2        40        31        04/08/00        7040031000009950        00099
        12        spring        4        41        31        05/04/01        7041031000112450        01124
        12        spring        4        41        32        05/04/01        7041032000112450        01124
        12        spring        4        41        33        05/04/01        7041033000112450        01124
        12        spring        5        41        34        04/08/03        7041034000309850        03098
        12        spring        6        42        31        05/11/01        7042031000113150        01131
        12        spring        7        42        32        03/21/00        7042032000008150        00081
        12        spring        8        42        33        04/06/00        7042033000009750        00097
        12        spring        8        42        34        04/06/00        7042034000009750        00097
        12        spring        9        43        31        04/29/00        7043031000012050        00120
        12        spring        9        43        32        04/29/00        7043032000012050        00120
        12        spring       10        43        33        05/31/00        7043033000015250        00152        
        12        spring       11        44        32        05/12/02        7044032000213250        02132
