"id","x","y","eame","heth"
2444,560549.717,241051.6204,0,0
2445,560147.3724,240450.7449,0,0
2446,558184.5364,240444.1019,1,0
2447,560542.3199,242316.3861,1,0
2448,434465.4129,690208.7339,0,1
2449,436409.1909,692144.1819,0,1
2450,434118.4954,689000.0073,0,0
2451,436718.6775,688755.6698,0,1
2452,437796.0509,692181.761,0,1
2453,442086.138,694396.3598,0,1
2454,440318.322,695446.45,0,1
2455,440832.1665,693958.1772,0,1
2456,439772.305,696221.6875,0,1
2457,441190.578,694883.7033,0,0
2458,443451.613,685455.6286,1,1
2459,440140.0669,687996.9515,0,1
2460,442253.4012,687812.6129,0,1
2461,439025.4812,685511.2083,0,0
2462,442707.5759,687725.6408,0,1
2463,321161.2204,608023.8746,0,1
2464,320157.8165,608057.3463,0,1
2465,319741.5605,608051.9111,0,0
2466,316752.9026,608171.7062,0,1
2467,320731.403,608031.0431,0,1
2468,325003.3126,612635.8133,0,0
2469,325981.6368,612643.9072,0,0
2470,325859.8503,614270.3303,0,1
2471,324685.7916,614317.3995,0,1
2472,325386.6805,614265.2209,0,1
2473,325460.178,606030.9561,0,1
2474,323504.5312,606308.5327,0,1
2475,321853.9354,603815.4769,0,1
2476,321869.8127,604359.9228,0,1
2477,324480.7581,603834.2549,0,0
2478,436788.6935,635539.8858,0,1
2479,435637.1654,636775.8519,0,1
2480,436731.0817,636525.2836,0,1
2481,433220.8101,635780.5324,0,1
2482,435153.5921,636126.8585,0,1
2483,440066.7623,640809.3262,0,1
2484,439517.9786,638426.1226,0,1
2485,439027.7306,638689.2982,0,1
2486,440041.7696,641669.7974,0,1
2487,442726.1212,639258.2473,0,1
2488,439670.1783,630610.6625,0,1
2489,438126.5138,629890.9493,0,1
2490,440030.7039,633082.998,0,1
2491,438487.1857,632847.7281,0,1
2492,438861.9801,629600.0275,0,1
2493,439257.6584,629315.8784,0,1
2494,430434.8493,414093.2721,0,1
2495,431012.7356,412973.3802,0,0
2496,430739.4576,411334.0311,0,0
2497,434218.1961,412658.5706,0,1
2498,434876.1826,412786.6541,0,1
2499,435764.62,417232.1582,0,1
2500,436519.262,419845.369,0,1
2501,435306.9133,419276.578,0,1
2502,436294.1081,418284.0773,0,0
2503,436266.5813,417379.0379,0,0
2504,437379.3497,406503.725,0,0
2505,438892.5185,407159.2101,0,0
2506,437380.5918,407431.2979,0,0
2507,438247.8539,406723.9449,0,0
2508,436848.4361,406724.8109,0,0
2509,395942.6831,523401.1877,0,0
2510,392747.6424,527298.6255,0,0
2511,392940.071,523295.0027,0,0
2512,397149.3771,523202.125,0,1
2513,395660.671,524894.7816,1,0
2514,397702.6653,527312.2186,0,1
2515,400256.9456,528580.3515,0,0
2516,402230.0956,529986.9456,1,0
2517,402153.6803,527440.1594,0,1
2518,398924.7475,530257.0922,0,0
2519,399941.3713,521031.6677,1,0
2520,401129.0323,518735.6306,0,0
2521,399558.1338,521596.7975,0,0
2522,397146.2832,518570.2165,1,1
2523,401043.2808,520247.476,1,0
2524,510305.7985,413950.6631,0,0
2525,510614.6348,411992.0197,0,1
2526,512615.941,411155.3199,0,1
2527,512619.3246,414877.3273,0,1
2528,512758.2721,412640.1869,0,0
2529,519354.5154,415532.9774,0,0
2530,518416.6464,415536.4688,0,0
2531,515881.153,419527.289,0,0
2532,516953.1289,415550.3136,0,1
2533,515463.2173,415510.0777,0,1
2534,518781.0865,407763.623,0,1
2535,517115.8606,405899.2694,0,1
2536,517160.2544,408660.4634,0,1
2537,519819.2355,407508.0503,0,1
2538,517180.5441,407487.5484,0,0
2539,611608.4897,495633.1591,0,0
2540,610394.4257,497262.5254,0,0
2541,612070.528,495557.5673,0,1
2542,611665.8211,497306.1695,0,1
